builtin_users,features,media_extensions,services,functions,good_users
BroPants,LegacyComponents,*.mp3,ajrouter,Set-Variables,
BroShirt,DirectPlay,*.mp4,alg,Check-Powershell5,
Administrator,SimpleTCP,*.avi,appmgmt,Get-OS,
Guest,SNMP,*.wmv,axinstsv,Get-Ver,
defaultuser0,WMISnmpProvider,*.mid,bdesvc,Get-UserList,
DefaultAccount,Windows-Identity-Foundation,*.mov,browser,List-Programs,
,Microsoft-Windows-Subsystem-Linux,*.m4v,btagservice,Ask-Prompt,
,HypervisorPlatform,*.3gp,bthavctpsvc,Set-LogonMessage,
,Client-ProjFS,*.wma,bthhfsrv,Remove-TempTxt,
,WindowsMediaPlayer,*.wav,bthserv,List-Service,
,WAS-WindowsActivationService,,captureservice,List-User,
,WAS-ProcessModel,,certpropsvc,List-Admin,
,WAS-NetFxEnvironment,,cscservice,Add-Progress,
,WAS-ConfigurationAPI,,diagnosticshub.standardcollector.service,Open-Readme,
,MSMQ-Container,,diagtrack,Update-Windows,
,MSMQ-Server,,dmwappushservice,Enable-Firewall,
,MSMQ-Triggers,,dps,Clear-Hosts,
,MSMQ-HTTP,,efs,Set-FirefoxConfig,
,MSMQ-Multicast,,ehrecvr,Import-SCM,
,MSMQ-DCOMProxy,,ehsched,Run-CiscatRegistry,
,Printing-PrintToPDFServices-Features,,entappsvc,Disable-Services,
,RasRip,,eventsystem,Import-Inf,
,SMB1Protocol,,fax,Import-Audit,
,SMB1Protocol-Client,,fdphost,Get-Ip,
,SMB1Protocol-Server,,fdrespub,Enable_Users,
,SMB1Protocol-Deprecation,,ftpsvc,Disable_Users,
,TelnetClient,,hidserv,Change-Passwords,
,TelnetServer,,hkmsvc,Find-ProhibitedUserFiles,
,TFTP,,homegrouplistener,Add-Users,
,Printing-Foundation-InternetPrinting-Client,,homegroupprovider,Remove-Users,
,Printing-Foundation-LPDPrintService,,icssvc,Add-Admins,
,Printing-Foundation-LPRPortMonitor,,idsvc,Remove-Admins,
,TIFFIFilter,,ieetwcollectorservice,Enable-InternetExplorer,
,,,iisadmin,Disable-Features,
,,,ipbusenum,Remove-Program,
,,,iphlpsvc,Open-Forensics,
,,,irmon,Remove-MediaFiles,
,,,lfsvc,Find-MediaFiles,
,,,lltdsvc,Remove-Shares,
,,,lmhosts,View-Shares,
,,,lxssmanager,Secure-Screensaver,
,,,mapsbroker,Disable-RemoteDesktop,
,,,messenger,List-Functions,
,,,mnmsrvc,,
,,,msftpsvc,,
,,,msiscsi,,
,,,napagent,,
,,,netlogon,,
,,,nettcpportsharing,,
,,,nfsclnt,,
,,,p2pimsvc,,
,,,p2psvc,,
,,,pcasvc,,
,,,peerdistsvc,,
,,,pnrpautoreg,,
,,,pnrpsvc,,
,,,qwave,,
,,,rasauto,,
,,,rasman,,
,,,remoteaccess,,
,,,remoteregistry,,
,,,retaildemo,,
,,,rpclocator,,
,,,rpcss,,
,,,scardsvr,,
,,,scdeviceenum,,
,,,scpolicysvc,,
,,,seclogon,,
,,,sens,,
,,,sensordataservice,,
,,,sensorservice,,
,,,sensrsvc,,
,,,sessionenv,,
,,,sharedaccess,,
,,,simptcp,,
,,,smsrouter,,
,,,snmp,,
,,,snmptrap,,
,,,spooler,,
,,,ssdpsrv,,
,,,stisvc,,
,,,storsvc,,
,,,sysmain,,
,,,tabletinputservice,,
,,,tbs,,
,,,termservice,,
,,,tlntsvr,,
,,,trkwks,,
,,,tzautoupdate,,
,,,ui0detect,,
,,,umrdpservice,,
,,,upnphost,,
,,,vaultsvc,,
,,,vmicguestinterface,,
,,,vmicheartbeat,,
,,,vmickvpexchange,,
,,,vmicrdv,,
,,,vmicshutdown,,
,,,vmictimesync,,
,,,vmicvss,,
,,,w3svc,,
,,,was,,
,,,wbiosrvc,,
,,,wcncsvc,,
,,,wcspluginservice,,
,,,wdiservicehost,,
,,,wdisystemhost,,
,,,webclient,,
,,,wecsvc,,
,,,wercplsupport,,
,,,wersvc,,
,,,winhttpautoproxysvc,,
,,,wmpnetworksvc,,
,,,wmsvc,,
,,,wpdbusenum,,
,,,wpsvc,,
,,,wwansvc,,
,,,xbgm,,
,,,xblauthmanager,,
,,,xblgamesave,,
,,,xboxgip,,
,,,xboxgipsvc,,
,,,xboxnetapisvc,,
