Name,Action
*.mp3,Delete
*.mp4,Delete
*.avi,Delete
*.wmv,Delete
*.mid,Delete
*.mov,Delete
*.m4v,Delete
*.3gp,Delete
*.wma,Delete
*.wav,Delete
*.aac,Delete
*.ac3,Delete
*.aiff,Delete
*.bat,Find
*.exe,Find
*.flac,Delete
*.mp2,Delete
*.mpeg4,Delete
*.midi,Delete
*.msi,Find
*.ogg,Delete
*.txt,Find
*.sh,Find
*.vqf,Delete
*.aif,Delete
*.cda,Delete
*.mpa,Delete
*.wpl,Delete
*.7z,Find
*.arj,Find
*.deb,Find
*.pkg,Find
*.rar,Find
*.rpm,Find
*.tar.gz,Find
*.z,Find
*.zip,Find
*.bin,Find
*.dmg,Find
*.iso,Find
*.toast,Find
*.vcd,Find
*.log,Find
*.sql,Find
*.tar,Find
*.xml,Find
*.apk,Find
*.cgi,Find
*.pl,Find
*.com,Find
*.gadget,Find
*.py,Find
*.wsf,Find
*.js,Find
*.part,Find
*.php,Find
*.c,Find
*.cpp,Find
*.cs,Find
*.java,Find
*.swift,Find
*.vb,Find
*.3g2,Delete
*.flv,Delete
*.h264,Delete
*.mkv,Delete
*.mpg,Delete
*.mpeg,Delete
*.rm,Delete
*.swf,Delete
*.vob,Delete
*.doc,Find
*.docx,Find
*.odt,Find
*.rtf,Find
*.tex,Find
*.wks,Find
*.wps,Find
*.wpd,Find
