Name,Alias,Type
Import-SCT,isct,Auto
Remove-Users,ru,Auto
Remove-Admins,ra,Auto
Set-Passwords,sp,Auto
Enable-Firewall,ef,Auto
Set-PasswordExpire,spe,Auto
Disable-Users,disu,Auto
Disable-RemoteDesktop,drd,Auto
Protect-Screensaver,ps,Auto
Clear-Hosts,ch,Auto
Set-FirefoxConfig,sffc,Auto
Enable-InternetExplorer,eie,Auto
Remove-AppLocker,rapp,Auto
Enable-UAC,euac,Auto
Open-Forensics,of,Auto
Disable-Features,df,Auto
Install-Programs,ip,Auto
Remove-ProhibitedFiles,rpf,Auto
Disable-Services,dserv,Auto
Update-Windows,uw,Auto
Start-CiscatRegistry,sccr,Auto
Import-IERegistry,iier,Auto
Remove-Shares,rshare,Manual
Remove-Programs,rp,Manual
Remove-Malware,rm,Manual
Find-ProhibitedUserFiles,fpuf,Manual
Remove-BadUserFolders,rbuf,Manual
Update-Programs,up,Manual
Start-Nessus,sn,Manual
Find-ProhibitedFiles,fpf,Manual
Start-Sysinternals,ssys,Manual
Open-Readme,or,Utility
Enable-Users,eu,Utility
Start-CatLite,scl,Utility
Add-Admins,aa,Utility
Add-Users,au,Utility
Add-Groups,ag,Utility
Copy-ToProfile,ctp,Utility
Find-MediaFiles,fmf,Utility
Get-Admins,ga,Utility
Get-Users,gu,Utility
Get-Functions,gf,Utility
Start-Script,ss,Utility
Open-ScoringReport,osr,Utility
Open-StopScoring,oss,Utility
Enable-RemoteDesktop,erd,Utility
Replace-EaseOfAccess,reoa,Utility
Install-Chocolatey,ic,Utility
Fix-Programs,fp,Utility
Start-InitialSetup,sis,Utility
Get-SOOS,gos,ScriptOnly
Import-SOLists,il,ScriptOnly
Get-SOBadUsers,gbu,ScriptOnly
Get-SOBadAdmins,gba,ScriptOnly
Set-SOLogonMessage,slm,ScriptOnly
Add-SOProgress,ap,ScriptOnly
Import-SOAlias,ialias,ScriptOnly
Set-SOAutoLogon,sal,ScriptOnly
